lat,long,Stability_Class,EPR,NSM,LRR,SCE,ML_Stability_Predicted,Prediction_Confidence
21.8536576881,90.2604343992,Stable,0.0,0.0,0.0,0.0,Stable,1.0
21.8534783888,90.260411987,Stable,0.0,0.0,0.0,0.0,Stable,1.0
21.8533250226,90.2603928166,Stable,0.0,0.0,0.0,0.0,Stable,1.0
21.8532293954,90.2603808638,Stable,0.0,0.0,0.0,0.0,Stable,1.0
21.8531379505,90.2603528406,Stable,0.0,0.0,0.0,0.0,Stable,1.0
21.8529922214,90.2603076138,Stable,0.0,0.0,0.0,0.0,Stable,1.0
21.8528188354,90.2602538038,Stable,0.0,0.0,0.0,0.0,Stable,1.0
21.8526454496,90.2601999944,Stable,0.0,0.0,0.0,0.0,Stable,1.0
21.8524720636,90.2601461846,Stable,0.0,0.0,0.0,0.0,Stable,1.0
21.8522986787,90.2600923756,Stable,0.0,0.0,0.0,0.0,Stable,1.0
21.8521252937,90.2600385666,Stable,0.0,0.0,0.0,0.0,Stable,1.0
21.8519519068,90.2599847571,Stable,0.0,0.0,0.0,0.0,Stable,1.0
21.8517915168,90.2599349812,Stable,0.0,0.0,0.0,0.0,Stable,1.0
21.8516952928,90.2599051188,Stable,0.0,0.0,0.0,0.0,Stable,1.0
21.8516679401,90.2598966301,Stable,0.0,0.0,0.0,0.0,Stable,1.0
21.8516399245,90.2598746175,Stable,0.0,0.0,0.0,0.0,Stable,1.0
21.8514521046,90.2597270432,Stable,0.0,0.0,0.0,0.0,Stable,1.0
21.8502544279,90.2596012985,Active Erosion,-11.63,-349.96,-12.31,349.96,Active Erosion,1.0
21.8499667495,90.2585913877,Active Erosion,-11.63,-349.96,-12.31,349.96,Active Erosion,1.0
21.8494825414,90.2568916054,Active Erosion,-11.63,-349.96,-12.31,349.96,Active Erosion,1.0
21.8493325508,90.2563650872,Active Erosion,-11.63,-349.96,-12.31,349.96,Active Erosion,1.0
21.8468930383,90.2577212456,Active Erosion,-22.19,-667.43,-25.0,667.43,Active Erosion,1.0
21.8460278199,90.2569379736,Active Erosion,-22.19,-667.43,-25.0,667.43,Active Erosion,1.0
21.8425552809,90.2537944445,Active Erosion,-22.19,-667.43,-25.0,667.43,Active Erosion,1.0
21.84229207,90.2535561796,Active Erosion,-22.19,-667.43,-25.0,667.43,Active Erosion,1.0
21.8499578953,90.259513437,Active Erosion,-11.75,-353.34,-12.32,353.34,Active Erosion,1.0
21.8495898607,90.2583558308,Active Erosion,-11.75,-353.34,-12.32,353.34,Active Erosion,1.0
21.8490818656,90.2567580469,Active Erosion,-11.75,-353.34,-12.32,353.34,Active Erosion,1.0
21.8489297801,90.2562797076,Active Erosion,-11.75,-353.34,-12.32,353.34,Active Erosion,1.0
21.8506661042,90.2597232771,Active Erosion,-10.07,-303.04,-11.53,303.04,Active Erosion,1.0
21.8507956213,90.259211233,Active Erosion,-10.07,-303.04,-11.53,303.04,Active Erosion,1.0
21.8513773503,90.2569112838,Active Erosion,-10.07,-303.04,-11.53,303.04,Active Erosion,1.0
21.8513813717,90.2568953839,Active Erosion,-10.07,-303.04,-11.53,303.04,Active Erosion,1.0
21.8504989913,90.2596737619,Active Erosion,-10.28,-309.28,-11.6,309.28,Active Erosion,1.0
21.8506483145,90.2590954922,Active Erosion,-10.28,-309.28,-11.6,309.28,Active Erosion,1.0
21.851214877,90.2569013353,Active Erosion,-10.28,-309.28,-11.6,309.28,Active Erosion,1.0
21.8512431758,90.2567917376,Active Erosion,-10.28,-309.28,-11.6,309.28,Active Erosion,1.0
21.8503250089,90.2596222114,Active Erosion,-9.83,-295.73,-10.84,295.73,Active Erosion,1.0
21.8504926111,90.2589731544,Active Erosion,-9.83,-295.73,-10.84,295.73,Active Erosion,1.0
21.8509735888,90.2571104519,Active Erosion,-9.83,-295.73,-10.84,295.73,Active Erosion,1.0
21.851036586,90.2568664731,Active Erosion,-9.83,-295.73,-10.84,295.73,Active Erosion,1.0
21.8501510265,90.259570661,Active Erosion,-9.51,-286.2,-10.31,286.2,Active Erosion,1.0
21.8503369075,90.2588508169,Active Erosion,-9.51,-286.2,-10.31,286.2,Active Erosion,1.0
21.8507576751,90.257221296,Active Erosion,-9.51,-286.2,-10.31,286.2,Active Erosion,1.0
21.8508396731,90.2569037305,Active Erosion,-9.51,-286.2,-10.31,286.2,Active Erosion,1.0
21.8499770441,90.2595191107,Active Erosion,-9.3,-279.86,-9.96,279.86,Active Erosion,1.0
21.8501812039,90.2587284795,Active Erosion,-9.3,-279.86,-9.96,279.86,Active Erosion,1.0
21.8505638543,90.2572465771,Active Erosion,-9.3,-279.86,-9.96,279.86,Active Erosion,1.0
21.8506504257,90.2569113005,Active Erosion,-9.3,-279.86,-9.96,279.86,Active Erosion,1.0
21.8498030618,90.2594675605,Active Erosion,-9.28,-279.21,-9.8,279.21,Active Erosion,1.0
21.8500206168,90.2586250552,Active Erosion,-9.28,-279.21,-9.8,279.21,Active Erosion,1.0
21.8503700339,90.257271858,Active Erosion,-9.28,-279.21,-9.8,279.21,Active Erosion,1.0
21.8504748801,90.256865807,Active Erosion,-9.28,-279.21,-9.8,279.21,Active Erosion,1.0
21.8496297744,90.2594162164,Active Erosion,-9.28,-279.15,-9.71,279.15,Active Erosion,1.0
21.8498604051,90.258524922,Active Erosion,-9.28,-279.15,-9.71,279.15,Active Erosion,1.0
21.8501887447,90.2572559838,Active Erosion,-9.28,-279.15,-9.71,279.15,Active Erosion,1.0
21.8503027376,90.2568154234,Active Erosion,-9.28,-279.15,-9.71,279.15,Active Erosion,1.0
21.8495004195,90.2593778892,Active Erosion,-9.28,-279.3,-9.71,279.3,Active Erosion,1.0
21.849767736,90.2584670034,Active Erosion,-9.28,-279.3,-9.71,279.3,Active Erosion,1.0
21.8501329472,90.2572225052,Active Erosion,-9.28,-279.3,-9.71,279.3,Active Erosion,1.0
21.8502563881,90.2568018576,Active Erosion,-9.28,-279.3,-9.71,279.3,Active Erosion,1.0
21.8494406835,90.2593601898,Active Erosion,-9.35,-281.28,-9.75,281.28,Active Erosion,1.0
21.849782049,90.2584759491,Active Erosion,-9.35,-281.28,-9.75,281.28,Active Erosion,1.0
21.8502409253,90.2572872923,Active Erosion,-9.35,-281.28,-9.75,281.28,Active Erosion,1.0
21.8504108678,90.2568470715,Active Erosion,-9.35,-281.28,-9.75,281.28,Active Erosion,1.0
21.8494129337,90.259342817,Active Erosion,-9.54,-286.87,-10.06,286.87,Active Erosion,1.0
21.8498386598,90.2585113311,Active Erosion,-9.54,-286.87,-10.06,286.87,Active Erosion,1.0
21.8504806519,90.2572574296,Active Erosion,-9.54,-286.87,-10.06,286.87,Active Erosion,1.0
21.8506580214,90.2569109964,Active Erosion,-9.54,-286.87,-10.06,286.87,Active Erosion,1.0
21.8493294715,90.2592852563,Active Erosion,-9.66,-290.47,-10.2,290.47,Active Erosion,1.0
21.8497987306,90.2584863751,Active Erosion,-9.66,-290.47,-10.2,290.47,Active Erosion,1.0
21.8505239071,90.2572517876,Active Erosion,-9.66,-290.47,-10.2,290.47,Active Erosion,1.0
21.8507256686,90.2569082905,Active Erosion,-9.66,-290.47,-10.2,290.47,Active Erosion,1.0
21.8491705988,90.2591756879,Active Erosion,-9.31,-280.15,-9.72,280.15,Active Erosion,1.0
21.8496307447,90.2583813834,Active Erosion,-9.31,-280.15,-9.72,280.15,Active Erosion,1.0
21.8502655969,90.2572854802,Active Erosion,-9.31,-280.15,-9.72,280.15,Active Erosion,1.0
21.8505038043,90.2568742726,Active Erosion,-9.31,-280.15,-9.72,280.15,Active Erosion,1.0
21.8485205706,90.2587273915,Active Erosion,-8.57,-257.79,-8.91,257.79,Active Erosion,1.0
21.8486516731,90.2577694654,Active Erosion,-8.57,-257.79,-8.91,257.79,Active Erosion,1.0
21.8488077839,90.2566287545,Active Erosion,-8.57,-257.79,-8.91,257.79,Active Erosion,1.0
21.8488580614,90.2562613612,Active Erosion,-8.57,-257.79,-8.91,257.79,Active Erosion,1.0
21.8476407954,90.2581485375,Active Erosion,-12.85,-386.43,-12.96,386.43,Active Erosion,1.0
21.8473579026,90.2569157163,Active Erosion,-12.85,-386.43,-12.96,386.43,Active Erosion,1.0
21.8470566752,90.2556030429,Active Erosion,-12.85,-386.43,-12.96,386.43,Active Erosion,1.0
21.8468082529,90.2545205183,Active Erosion,-12.85,-386.43,-12.96,386.43,Active Erosion,1.0
