Sample no,Lat,Long,EC,Cl,Salinity
kk-19,21.80923,90.14571,480,79.875,0.32
kk-20,21.80926,90.14568,1020,301.75,0.68
kk-13,21.8193,90.17767,1400,479.25,0.93
kk-11,21.83489,90.15846,1730,384.598125,1.15
kk-26,21.8647,90.14553,1820,432.65625,1.21
kk-06,21.85369,90.12648,1850,432.65625,1.23
kk-02,21.87112,90.10552,1870,410.46875,1.24
kk-18,21.82397,90.21136,1870,454.84375,1.24
kk-03,21.86536,90.11839,1910,399.375,1.27
kk-04,21.86504,90.12303,1910,554.6875,1.27
kk-07,21.85419,90.13295,1920,443.75,1.27
kk-17,21.81696,90.21346,1930,477.03125,1.28
kk-25,21.85903,90.1428,1950,461.5,1.29
kk-21,21.81057,90.14495,1970,479.25,1.31
kk-12,21.83097,90.17206,1980,479.25,1.31
kk-09,21.83775,90.15174,2010,497,1.33
kk-22,21.8211,90.14496,2010,514.75,1.33
kk-08,21.8439,90.13959,2020,568,1.34
kk-23,21.82498,90.14475,2060,532.5,1.37
kk-16,21.81541,90.19027,2100,568,1.39
kk-15,21.817352,90.18187,2130,568,1.41
kk-24,21.83365,90.14336,2160,621.25,1.43
kk-05,21.86055,90.12434,2350,710,1.56
kk-10,21.83812,90.15272,4240,2130,2.82
kk-01,21.870491,90.10457,8700,4615,5.78
kk-14,21.81719,90.18137,19500,11241.66667,12.95
